time,increase,decrease,total,all
1_100,4,0,4,4
101_200,0,0,4,4
201_300,291,3,295,295
301_400,91,4,383,386
401_500,40,2,419,426
501_600,2,0,419,428
601_700,379,34,798,807
701_800,124,21,888,931
801_900,16,3,883,947
901_1000,405,81,1285,1352
1001_1100,85,13,1289,1437
1101_1200,366,197,1642,1803
1201_1300,69,29,1514,1872
1301_1400,155,149,1640,2027
1401_1500,36,45,1527,2063
1501_1600,179,137,1661,2242
1601_1700,168,170,1692,2410
1701_1800,168,237,1690,2578
1801_1900,131,285,1584,2709
1901_2016,208,0,1507,2917
